sales_month	category_id	category_name	units_sold	gross_revenue
2019-01	10	Sleeping Bags	121	28383.35
2019-01	11	Camp Kitchen	146	31060.26
2019-01	12	Backpacks	80	18762.45
2019-01	17	Kayaks	91	20299.70
2019-01	19	Jackets	135	32208.69
2019-02	10	Sleeping Bags	92	22025.02
2019-02	11	Camp Kitchen	110	25197.84
2019-02	12	Backpacks	119	28481.39
2019-02	17	Kayaks	80	17831.45
2019-02	19	Jackets	132	30561.00
2019-03	10	Sleeping Bags	154	35510.43
2019-03	11	Camp Kitchen	123	27175.31
2019-03	12	Backpacks	174	37284.90
2019-03	17	Kayaks	123	33261.63
2019-03	19	Jackets	149	36559.33
2019-04	10	Sleeping Bags	156	34068.30
2019-04	11	Camp Kitchen	190	46719.43
2019-04	12	Backpacks	174	41205.38
2019-04	17	Kayaks	177	40185.55
2019-04	19	Jackets	157	36629.02
2019-05	10	Sleeping Bags	199	39316.30
2019-05	11	Camp Kitchen	136	31897.51
2019-05	12	Backpacks	157	39956.71
2019-05	17	Kayaks	128	29411.19
2019-05	19	Jackets	175	40186.61
2019-06	10	Sleeping Bags	230	59930.48
2019-06	11	Camp Kitchen	242	56920.23
2019-06	12	Backpacks	220	60578.04
2019-06	17	Kayaks	186	43678.70
2019-06	19	Jackets	219	52462.30
2019-07	10	Sleeping Bags	185	36356.14
2019-07	11	Camp Kitchen	214	50387.24
2019-07	12	Backpacks	201	45562.60
2019-07	17	Kayaks	165	33026.18
2019-07	19	Jackets	175	36898.32
2019-08	10	Sleeping Bags	232	49485.07
2019-08	11	Camp Kitchen	276	65303.63
2019-08	12	Backpacks	204	48492.47
2019-08	17	Kayaks	218	51643.67
2019-08	19	Jackets	212	49546.62
2019-09	10	Sleeping Bags	174	36547.10
2019-09	11	Camp Kitchen	137	32541.59
2019-09	12	Backpacks	147	27860.54
2019-09	17	Kayaks	151	33070.55
2019-09	19	Jackets	182	37748.87
2019-10	10	Sleeping Bags	130	29336.67
2019-10	11	Camp Kitchen	153	29107.00
2019-10	12	Backpacks	174	41057.95
2019-10	17	Kayaks	161	36526.27
2019-10	19	Jackets	179	36948.48
2019-11	10	Sleeping Bags	192	45673.38
2019-11	11	Camp Kitchen	153	30291.39
2019-11	12	Backpacks	127	33049.75
2019-11	17	Kayaks	152	38865.45
2019-11	19	Jackets	179	45185.20
2019-12	10	Sleeping Bags	209	52573.25
2019-12	11	Camp Kitchen	268	56521.47
2019-12	12	Backpacks	182	50150.77
2019-12	17	Kayaks	184	43571.67
2019-12	19	Jackets	142	32334.46
2020-01	10	Sleeping Bags	134	31508.64
2020-01	11	Camp Kitchen	120	30351.37
2020-01	12	Backpacks	95	23410.89
2020-01	17	Kayaks	122	28323.50
2020-01	19	Jackets	102	20556.51
2020-02	10	Sleeping Bags	110	32041.21
2020-02	11	Camp Kitchen	91	19435.61
2020-02	12	Backpacks	101	28819.43
2020-02	17	Kayaks	129	28494.13
2020-02	19	Jackets	114	22861.30
2020-03	10	Sleeping Bags	63	13141.54
2020-03	11	Camp Kitchen	73	15271.09
2020-03	12	Backpacks	55	13943.39
2020-03	17	Kayaks	52	9375.10
2020-03	19	Jackets	102	18119.56
2020-04	10	Sleeping Bags	29	8820.64
2020-04	11	Camp Kitchen	54	13016.63
2020-04	12	Backpacks	36	10918.73
2020-04	17	Kayaks	28	6627.42
2020-04	19	Jackets	68	13788.74
2020-05	10	Sleeping Bags	97	21359.74
2020-05	11	Camp Kitchen	91	21963.04
2020-05	12	Backpacks	111	20492.16
2020-05	17	Kayaks	100	26323.33
2020-05	19	Jackets	95	23469.35
2020-06	10	Sleeping Bags	154	39187.72
2020-06	11	Camp Kitchen	152	33091.56
2020-06	12	Backpacks	161	37739.44
2020-06	17	Kayaks	116	23580.23
2020-06	19	Jackets	135	29391.61
2020-07	10	Sleeping Bags	210	46826.10
2020-07	11	Camp Kitchen	238	55510.89
2020-07	12	Backpacks	240	53625.43
2020-07	17	Kayaks	207	39627.62
2020-07	19	Jackets	178	38973.64
2020-08	10	Sleeping Bags	200	49973.15
2020-08	11	Camp Kitchen	255	56159.83
2020-08	12	Backpacks	247	56896.52
2020-08	17	Kayaks	187	46006.55
2020-08	19	Jackets	207	42328.70
2020-09	10	Sleeping Bags	168	35681.17
2020-09	11	Camp Kitchen	163	35365.15
2020-09	12	Backpacks	166	42934.89
2020-09	17	Kayaks	138	33607.11
2020-09	19	Jackets	190	42088.53
2020-10	10	Sleeping Bags	120	28472.77
2020-10	11	Camp Kitchen	148	29450.05
