product_id	sku	category_name	unit_cost	list_price	is_below_cost
10001	OAK-BAC-8218	Backpacks	221.70	516.99	0
10002	OAK-BAC-4441	Backpacks	50.50	98.99	0
10003	OAK-CAM-8691	Camp Kitchen	97.14	225.99	0
10004	OAK-TRE-1744	Trekking Poles	215.64	418.99	0
10005	OAK-CAR-4241	Carabiners & Hardware	17.06	38.99	0
10006	OAK-SKI-3350	Skis & Snowboards	130.64	290.99	0
10007	OAK-TEN-1645	Tents	49.41	85.99	0
10008	OAK-BAS-5875	Base Layers	16.02	29.99	0
10009	OAK-CAR-3638	Carabiners & Hardware	219.90	398.99	0
10010	OAK-JAC-1260	Jackets	12.68	29.99	0
10011	OAK-WAT-7814	Water Bottles	215.35	477.99	0
10012	OAK-CAM-1132	Camp Kitchen	31.33	63.99	0
10013	OAK-ROP-6570	Ropes & Harnesses	33.10	63.99	0
10014	OAK-JAC-3206	Jackets	161.38	315.99	0
10015	SKU819998	Navigation	94.05	155.99	0
10016	OAK-SLE-1240	Sleeping Bags	194.55	368.99	0
10017	OAK-HIK-7050	Hiking Boots	175.66	294.99	0
10018	OAK-KAY-1186	Kayaks	139.38	295.99	0
10019	OAK-TRE-7948	Trekking Poles	110.05	240.99	0
10020	OAK-WAT-1373	Water Bottles	238.59	528.99	0
10021	OAK-JAC-0145	Jackets	221.86	382.99	0
10022	OAK-BAS-9275	Base Layers	17.19	33.99	0
10023	OAK-PAD-7369	Paddles & PFDs	217.49	495.99	0
10024	OAK-BAS-2090	Base Layers	23.32	38.99	0
10025	OAK-TRA-1182	Trail Runners	26.89	56.99	0
10026	OAK-ROP-2378	Ropes & Harnesses	45.91	90.99	0
10027	OAK-HIK-0434	Hiking Boots	153.19	295.99	0
10028	OAK-WAT-1282	Water Bottles	191.83	318.99	0
10029	OAK-BAS-5960	Base Layers	177.13	313.99	0
10030	OAK-TEN-2737	Tents	224.33	403.99	0
10031	SKU141697	Water Bottles	62.37	108.99	0
10032	OAK-TRA-5554	Trail Runners	163.00	309.99	0
10033	SKU521481	Backpacks	156.92	277.99	0
10034	OAK-HIK-2088	Hiking Boots	200.86	324.99	0
10035	OAK-TRA-6249	Trail Runners	66.70	52.99	1
10036	OAK-CAR-4407	Carabiners & Hardware	195.92	340.99	0
10037	OAK-TEN-5844	Tents	45.75	81.99	0
10038	OAK-CAM-2651	Camp Kitchen	191.63	403.99	0
10039	OAK-CAR-5570	Carabiners & Hardware	209.90	404.99	0
10040	OAK-JAC-3243	Jackets	71.34	156.99	0
10041	OAK-WAT-3275	Water Bottles	35.22	56.99	0
10042	OAK-BAS-3349	Base Layers	216.23	451.99	0
10043	OAK-BAC-4108	Backpacks	235.14	491.99	0
10044	OAK-WAT-5601	Water Bottles	55.99	120.99	0
10045	OAK-ROP-2878	Ropes & Harnesses	39.33	62.99	0
10046	OAK-JAC-5148	Jackets	194.67	329.99	0
10047	OAK-KAY-3730	Kayaks	38.24	74.99	0
10048	OAK-ROP-3417	Ropes & Harnesses	194.57	419.99	0
10049	SKU906547	Base Layers	98.33	181.99	0
10050	OAK-BAC-1364	Backpacks	109.27	257.99	0
10051	OAK-JAC-4651	Jackets	216.58	403.99	0
10052	OAK-CAM-6489	Camp Kitchen	48.28	97.99	0
10053	OAK-JAC-2023	Jackets	100.41	213.99	0
10054	OAK-NAV-1835	Navigation	46.28	94.99	0
10055	OAK-HIK-3767	Hiking Boots	220.32	385.99	0
10056	OAK-NAV-5330	Navigation	213.39	346.99	0
10057	OAK-TEN-5118	Tents	75.20	153.99	0
10058	OAK-WAT-7386	Water Bottles	209.65	474.99	0
10059	OAK-JAC-1904	Jackets	98.55	176.99	0
10060	SKU140578	Skis & Snowboards	78.83	149.99	0
10061	OAK-SLE-9903	Sleeping Bags	120.03	275.99	0
10062	OAK-CAR-5648	Carabiners & Hardware	73.31	169.99	0
10063	OAK-CAM-3768	Camp Kitchen	53.16	107.99	0
10064	OAK-PAD-5286	Paddles & PFDs	52.93	92.99	0
10065	OAK-NAV-2405	Navigation	37.09	87.99	0
10066	SKU566158	Kayaks	224.14	509.99	0
10067	OAK-ROP-7606	Ropes & Harnesses	94.14	160.99	0
10068	SKU110884	Navigation	192.31	426.99	0
10069	OAK-CAM-7633	Camp Kitchen	169.09	272.99	0
10070	OAK-JAC-6550	Jackets	188.04	423.99	0
