sale_id,sale_date,customer_id,rep_id,sale_amount
1,2025-12-30,1,1,3034.06
2,2026-01-02,2,1,2011.38
3,2026-01-03,3,1,2454.74
4,2026-01-04,4,1,1739.54
5,2026-01-05,5,2,2833.48
6,2026-01-06,5,2,4448.76
7,2026-01-07,5,2,3243.39
8,2026-03-04,5,3,3812.15
9,2026-03-07,1,3,2018.90
10,2026-02-11,7,3,1735.55
11,2026-01-25,5,2,2379.73
12,2026-02-27,11,2,9671.21
13,2026-01-28,5,2,1574.17
14,2026-02-06,3,3,4835.00
15,2026-01-30,4,1,5305.32
16,2026-02-19,7,1,2664.07
17,2026-03-24,11,2,5230.36
18,2026-01-26,7,1,6026.26
19,2026-01-22,8,2,9589.68
20,2026-02-01,11,2,4637.37
21,2026-03-13,4,2,7788.66
22,2026-03-12,2,1,2851.29
